"","Filename","Priority","Title","Author","Origin","Call Number","Page Number","Page Sort","Genre","Luna URL","Hamnet URL"
"1","086370.jpg",6331,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2104","1r",6379,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100436~179409","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"2","086371.jpg",6332,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2104","1v",6380,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100446~179410","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"3","086372.jpg",6333,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2104","2r",6381,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100456~179411","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"4","086373.jpg",6334,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2104","2v",6382,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100466~179412","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5","086377.jpg",6335,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2106","1r",6386,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100506~179416","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"6","086378.jpg",6336,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2106","1v || 2r",6387,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100516~179417","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"7","086379.jpg",6337,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2106","2v",6388,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100526~179418","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"8","086383.jpg",6338,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2108","1r",6392,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100566~179422","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"9","086384.jpg",6339,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2108","1v || 2r",6393,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100576~179423","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"10","086385.jpg",6340,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.2108","2v",6394,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1100586~179424","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
